City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,17.74,86,5,4.76,ZA,1701899019
1,san pedro pochutla,15.7333,-96.4667,30.84,61,80,3.01,MX,1701899019
2,bilibino,68.0546,166.4372,-30.91,99,100,1.83,RU,1701899019
3,la crosse,43.8014,-91.2396,7.42,60,0,7.2,US,1701898857
4,badger,64.8,-147.5333,-14.07,84,100,1.54,US,1701899020
5,port alfred,-33.5906,26.891,19.54,84,67,3.13,ZA,1701899020
6,blackmans bay,-43.0167,147.3167,15.96,59,100,0.89,AU,1701899020
7,stanley,54.868,-1.6985,2.09,92,0,2.57,GB,1701899020
8,zemetchino,53.4973,42.6163,-16.04,98,78,1.57,RU,1701899020
9,kavalerovo,44.2661,135.0572,-0.25,93,100,1.34,RU,1701899020
10,margaret river,-33.95,115.0667,13.95,83,100,3.92,AU,1701899021
11,alofi,-19.0595,-169.9187,26.94,83,75,3.09,NU,1701899021
12,tiksi,71.6872,128.8694,-25.63,97,100,3.53,RU,1701899021
13,saipan,15.1355,145.701,27.39,78,0,4.63,MP,1701899021
14,klyuchi,52.2667,79.1667,-12.57,67,100,8.88,RU,1701899021
15,tolanaro,-25.0319,46.9987,24.04,78,75,4.12,MG,1701899021
16,zaozersk,69.4005,32.4476,-19.34,100,86,2.42,RU,1701899022
17,nicoya,10.1483,-85.452,27.48,73,10,5.75,CR,1701899022
18,cabo san lucas,22.8909,-109.9124,29.78,69,0,5.14,MX,1701898995
19,taoudenni,22.6783,-3.9836,22.55,11,100,2.87,ML,1701899022
20,nova sintra,14.8667,-24.7167,21.65,73,100,8.26,CV,1701899022
21,port elizabeth,-33.918,25.5701,20.61,82,100,6.17,ZA,1701899022
22,tortoli,39.9256,9.6572,11.9,58,0,5.66,IT,1701899022
23,grytviken,-54.2811,-36.5092,-0.36,79,51,4.36,GS,1701899023
24,longyearbyen,78.2186,15.6401,-4.09,68,75,8.75,SJ,1701899023
25,vila franca do campo,37.7167,-25.4333,20.23,99,100,7.93,PT,1701899023
26,waitangi,-43.9535,-176.5597,16.57,93,100,2.24,NZ,1701899023
27,detroit lakes,46.8172,-95.8453,7.75,65,0,2.57,US,1701898823
28,peterhead,57.5058,-1.7981,4.22,67,99,10.78,GB,1701899023
29,nemuro,43.3236,145.575,8.46,93,100,7.34,JP,1701899024
30,vilyuchinsk,52.9306,158.4028,-8.37,84,63,2.99,RU,1701899024
31,punta gorda,26.9298,-82.0454,21.03,39,0,5.14,US,1701899024
32,enewetak,11.3474,162.3373,27.62,72,94,9.73,MH,1701899024
33,port-aux-francais,-49.35,70.2167,4.72,85,100,8.98,TF,1701899024
34,puerto natales,-51.7236,-72.4875,13.25,44,20,10.8,CL,1701899024
35,papatowai,-46.5619,169.4708,11.02,71,82,7.51,NZ,1701899024
36,quellon,-43.1167,-73.6167,13.76,63,5,5.83,CL,1701899025
37,kingston,17.997,-76.7936,31.53,66,40,3.6,JM,1701898799
38,bethel,41.3712,-73.414,3.06,70,100,3.6,US,1701898974
39,hawaiian paradise park,19.5933,-154.9731,26.04,77,100,1.79,US,1701899025
40,ancud,-41.8697,-73.8203,14.16,74,15,2.59,CL,1701899025
41,bredasdorp,-34.5322,20.0403,17.1,88,35,3.87,ZA,1701899025
42,albany,42.6001,-73.9662,-0.18,88,97,3.6,US,1701898847
43,hilo,19.7297,-155.09,26.16,81,100,2.24,US,1701898761
44,acapulco de juarez,16.8634,-99.8901,29.9,74,100,4.63,MX,1701899026
45,nykvarn,59.8,18.3,-10.98,96,93,0.66,SE,1701899026
46,zeya,53.75,127.2667,-17.94,98,100,0.82,RU,1701899026
47,lhokseumawe,5.1801,97.1507,25.44,84,100,1.36,ID,1701898742
48,port mathurin,-19.6833,63.4167,25.63,79,3,3.57,MU,1701899026
49,necochea,-38.5473,-58.7368,17.01,82,100,5.13,AR,1701899027
50,rio grande,-32.035,-52.0986,21.06,96,100,1.51,BR,1701899027
51,pisco,-13.7,-76.2167,23.03,73,0,8.75,PE,1701899027
52,mamuju,-2.6748,118.8885,25.43,88,100,2.98,ID,1701899027
53,edinburgh of the seven seas,-37.0676,-12.3116,14.29,77,10,8.24,SH,1701899027
54,harper,4.375,-7.7169,26.48,81,0,3.63,LR,1701899027
55,pacific grove,36.6177,-121.9166,18.06,80,0,4.47,US,1701899027
56,uturoa,-16.7333,-151.4333,26.29,80,100,7.8,PF,1701899028
57,adamstown,-25.066,-130.1015,22.99,78,99,4.98,PN,1701899028
58,iqaluit,63.7506,-68.5145,-13.15,78,20,4.63,CA,1701899028
59,anadyr,64.75,177.4833,-20.56,83,100,14.0,RU,1701899028
60,revelstoke,50.9832,-118.2023,2.01,93,100,0.0,CA,1701899028
61,port-vila,-17.7338,168.3219,26.78,83,75,6.17,VU,1701898817
62,kodiak,57.79,-152.4072,0.73,47,0,10.8,US,1701899028
63,hadibu,12.65,54.0333,24.92,68,100,5.68,YE,1701899029
64,gamba,-2.65,10.0,25.44,84,29,1.76,GA,1701899029
65,ribeira grande,38.5167,-28.7,18.22,77,40,8.23,PT,1701899029
66,georgetown,5.4112,100.3354,26.96,92,20,0.51,MY,1701899029
